Внешний код,Название,Активность,Символьный код,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Тип,Серия,Партномер,Номинальное входное напряжение_В,Выходное напряжение_В,Тип корпуса,Размеры корпуса_мм_x,Размеры корпуса_мм_y,Размеры корпуса_мм_z,Температурный диапазон_С°,Мощность_Вт,Максимальный проходной ток_А,Дополнительные фото,Datasheet,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,Символьный код секции 1 уровень,XML_ID секции 1 уровень
"Обязательное
proizvodstvo-preobrazovatelej-napryazheniya_№","Строка
Обязательное
Модульный преобразователь - тип - название серии - Выходное напряжение В / Мощность Вт - партномер","да/нет (галочка)
Варианты значений:
Y
N
","Строка
","Число
Комментарий:
Шаг 10 или 100","HTML/текст
","Техническое свойство
Варианты заполнения: html или text","Файл
","HTML/текст
","Техническое свойство
Варианты заполнения: html или text","Файл
","Строка
Обязательное
","Список
Варианты значений:
AC/DC
DC/DC
","Строка
","Строка
","Строка
","Число
","Список
Варианты значений:
full brick
1/2 brick
1/4 brick
","Число
в итоге должно получиться 117×55,9×12,7 ","Число
","Число
","Строка
","Число
","Число
","Файл
Множественное
","Файл
","Привязка к элементам по XML_ID
Множественное
","Строка
","Строка
","Строка
",Строка,Строка,Привязка по XML_ID
IE_XML_ID,IE_NAME,IE_ACTIVE,IE_CODE,IE_SORT,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_PREVIEW_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_DETAIL_PICTURE,MANUFACTURER,TYPE,SERIES,PARTNUMBER,NOMINAL_INPUT_VOLTAGE,OUTPUT_VOLTAGE,TYPE_OF_SHELL,THE_DIMENSIONS_OF_THE_CASE_X,THE_DIMENSIONS_OF_THE_CASE_Y,THE_DIMENSIONS_OF_THE_CASE_Z,TEMPERATURE_RANGE,POWER,MAXIMUM_PASSING_CURRENT,PHOTOS,DATASHEET,REPLACES,H1,TITLE,DESCRIPTION,IC_GROUP0,IC_CODE0,IC_XML_ID0
demo_proizvodstvo-preobrazovatelej-napryazheniya_1,ДЕМО элемент,Y,demo-element,100,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",html,demo_1.jpeg,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",html,demo_1.jpeg,Сайты для SEO,AC/DC,Сайты для SEO,Сайты для SEO,Сайты для SEO,1,full brick,1,1,1,Сайты для SEO,1,1,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg,element_1####element_2####element_3,ДЕМО заголовок элемента,ДЕМО title страницы,ДЕМО description страницы,ДЕМО Секция 1,demo-proizvodstvo-preobrazovatelej-napryazheniya-section-1,demo_proizvodstvo-preobrazovatelej-napryazheniya_section_1
proizvodstvo-preobrazovatelej-napryazheniya_1,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F300C-3V3P264R23",Y,modulnyj-preobrazovatel-dc-dc-irtysh-3-3-v-264-vt-et-f300c-3v3p264r23,200,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300C-3V3P264R23,"""300"" (180..375)","3,3",full brick,117,"55,9","12,7","""C""  (-20..100)",264,80,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####,"Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F300C-3V3P264R23","Модульный преобразователь DC/DC Иртыш 3,3 В / 264 Вт ET-F300C-3V3P264R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ",ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_2,Модульный преобразователь DC/DC Иртыш 5 В / 400 Вт ET-F300C-05VP400R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-5-v-400-vt-et-f300c-05vp400r23,300,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300C-05VP400R23,"""300"" (180..375)",5,full brick,117,"55,9","12,7","""C""  (-20..100)",400,80,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####,Модульный преобразователь DC/DC Иртыш 5 В / 400 Вт ET-F300C-05VP400R23,Модульный преобразователь DC/DC Иртыш 5 В / 400 Вт ET-F300C-05VP400R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_3,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F300C-08VP400R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-8-v-400-vt-et-f300c-08vp400r23,400,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300C-08VP400R23,"""300"" (180..375)",8,full brick,117,"55,9","12,7","""C""  (-20..100)",400,50,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F300C-08VP400R23,Модульный преобразователь DC/DC Иртыш 8 В / 400 Вт ET-F300C-08VP400R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_4,Модульный преобразователь DC/DC Иртыш 12 В / 600 Вт ET-F300C-12VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-12-v-600-vt-et-f300c-12vp600r23,500,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300C-12VP600R23,"""300"" (180..375)",12,full brick,117,"55,9","12,7","""C""  (-20..100)",600,50,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####,Модульный преобразователь DC/DC Иртыш 12 В / 600 Вт ET-F300C-12VP600R23,Модульный преобразователь DC/DC Иртыш 12 В / 600 Вт ET-F300C-12VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_5,Модульный преобразователь DC/DC Иртыш 15 В / 600 Вт ET-F300C-15VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-15-v-600-vt-et-f300c-15vp600r23,600,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300C-15VP600R23,"""300"" (180..375)",15,full brick,117,"55,9","12,7","""C""  (-20..100)",600,40,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####,Модульный преобразователь DC/DC Иртыш 15 В / 600 Вт ET-F300C-15VP600R23,Модульный преобразователь DC/DC Иртыш 15 В / 600 Вт ET-F300C-15VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_6,Модульный преобразователь DC/DC Иртыш 24 В / 600 Вт ET-F300C-24VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-24-v-600-vt-et-f300c-24vp600r23,700,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300C-24VP600R23,"""300"" (180..375)",24,full brick,117,"55,9","12,7","""C""  (-20..100)",600,25,,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####,Модульный преобразователь DC/DC Иртыш 24 В / 600 Вт ET-F300C-24VP600R23,Модульный преобразователь DC/DC Иртыш 24 В / 600 Вт ET-F300C-24VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_7,Модульный преобразователь DC/DC Иртыш 28 В / 600 Вт ET-F300C-28VP600R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-28-v-600-vt-et-f300c-28vp600r23,800,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F300,ET-F300C-28VP600R23,"""300"" (180..375)",28,full brick,117,"55,9","12,7","""C""  (-20..100)",600,"21,5",,ET-F300.pdf,proizvodstvo-preobrazovatelej-napryazheniya_316####,Модульный преобразователь DC/DC Иртыш 28 В / 600 Вт ET-F300C-28VP600R23,Модульный преобразователь DC/DC Иртыш 28 В / 600 Вт ET-F300C-28VP600R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
