Внешний код,Название,Символьный код,Активность,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Партномер,Количество контактов_от,Количество контактов_до,Температурный диапазон_от_С°,Температурный диапазон_до_С°,Максимальное рабочее напряжение_В,Количество сочленений,Сопротивление контактов_Ом,Сопротивление изоляции_МОм,Волновое сопротивление_Ом,Коэффициент стоячей волны по напряжению на 3000 МГц_от,Коэффициент стоячей волны по напряжению на 3000 МГц_до,Минимальная наработка_часов,Количество сочленения-расчленений,№ ТУ на серию,Обозначение КД,Тип изделия_назначение,Дополнительные фото,Datasheet,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,XML_ID секции 1 уровень
"Обязательное
razyomy_№","Строка
Обязательное
","Строка
","да/нет (галочка)
Варианты значений:
Y
N
","Число
Комментарий:
Шаг 10 или 100","HTML/текст
","Техническое свойство
Варианты заполнения: html или text","Файл
","HTML/текст
","Техническое свойство
Варианты заполнения: html или text","Файл
","Строка
Обязательное
","Строка
","Число
","Число
","Строка
","Строка
","Число
","Число
","Число
","Число
","Число
","Число
","Число
","Число
","Число
","Строка
","Строка
","Строка
","Файл
Множественное
",Файл,"Привязка к элементам по XML_ID
Множественное
","Строка
","Строка
","Строка
",Строка,Привязка по XML_ID
IE_XML_ID,IE_NAME,IE_CODE,IE_ACTIVE,IE_SORT,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_PREVIEW_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_DETAIL_PICTURE,MANUFACTURER,PARTNUMBER,NUMBER_OF_CONTACTS_FROM,NUMBER_OF_CONTACTS_TO,TEMPERATURE_RANGE_FROM,TEMPERATURE_RANGE_TO,MAXIMUM_OPERATING_VOLTAGE,THE_NUMBER_OF_JOINTS,CONTACT_RESISTANCE_OM,INSULATION_RESISTANCE_MOM,WAVE_RESISTANCE_OM,STANDING_WAVE_COEFFICIENT_OF_VOLTAGE_OF_3000_MHZ_FR,STANDING_WAVE_COEFFICIENT_OF_VOLTAGE_OF_3000_MHZ_TO,MINIMUM_WORKSHOP,THE_NUMBER_OF_ARTICULATIONS,NUMBER_FOR_THE_SERIES,DESIGNATION,TYPE_OF_PRODUCT_NOBEUM,PHOTOS,DATASHEET,REPLACES,H1,TITLE,DESCRIPTION,IC_GROUP0,IC_XML_ID0
demo_razyomy_1,ДЕМО элемент,demo-element,Y,100,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",html,demo_1.jpeg,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",html,demo_1.jpeg,Сайты для SEO,Сайты для SEO,1,1,Сайты для SEO,Сайты для SEO,1,1,1,1,1,1,1,1,1,Сайты для SEO,Сайты для SEO,Сайты для SEO,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg,element_1####element_2####element_3,ДЕМО заголовок элемента,ДЕМО title страницы,ДЕМО description страницы,ДЕМО Секция 1,demo_razyomy_section_1
razyomy_1,Производство разъёмов «под заказ»,proizvodstvo-razyomov-pod-zakaz,Y,200,<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство разъёмов «под заказ». Разумные сроки. Индивидуальный подход.</p>,html,"ЕТ-СНЦ13, ЕТ-СНЦ14, ЕТ-СНЦ43.png",<p>«ЭКБ ТЕСТ» — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство разъёмов «под заказ». Разумные сроки. Индивидуальный подход.</p>,html,"ЕТ-СНЦ13, ЕТ-СНЦ14, ЕТ-СНЦ43.png",ЭКБ ТЕСТ,,,,,,,,,,,,,,,,,,,,,Производство разъёмов «под заказ»,Производство разъёмов «под заказ»⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство разъёмов «под заказ». Разумные сроки. Индивидуальный подход.,Разъёмы ЭКБ ТЕСТ,razyomy_section_1
razyomy_2,Разъём многополюсный ЕТ-СНЦ13,razyom-mnogopolyusnyj-et-snc13,Y,300,,html,"ЕТ-СНЦ13, ЕТ-СНЦ14, ЕТ-СНЦ43.png",,html,"ЕТ-СНЦ13, ЕТ-СНЦ14, ЕТ-СНЦ43.png",ЭКБ ТЕСТ,ЕТ-СНЦ13,10,102,-60, `+85,140,250,,,,,,,,,,Разъём многополюсный \ бортовая аппаратура,,,razyomy_31,Разъём многополюсный ЕТ-СНЦ13,Разъём многополюсный ЕТ-СНЦ13⚡Изготовление на заказ ✔ pin-to-pin / функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на многополюсные разъёмы ЕТ-СНЦ13. Разумные сроки. Индивидуальный подход.,Разъёмы ЭКБ ТЕСТ,razyomy_section_1
razyomy_3,Разъём многополюсный ЕТ-СНЦ14,razyom-mnogopolyusnyj-et-snc14,Y,400,,html,"ЕТ-СНЦ13, ЕТ-СНЦ14, ЕТ-СНЦ43.png",,html,"ЕТ-СНЦ13, ЕТ-СНЦ14, ЕТ-СНЦ43.png",ЭКБ ТЕСТ,ЕТ-СНЦ14,10,102,-60, `+85,140,250,,,,,,,,,,Разъём многополюсный \ бортовая аппаратура,,,razyomy_32,Разъём многополюсный ЕТ-СНЦ14,Разъём многополюсный ЕТ-СНЦ14⚡Изготовление на заказ ✔ pin-to-pin / функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на многополюсные разъёмы ЕТ-СНЦ14. Разумные сроки. Индивидуальный подход.,Разъёмы ЭКБ ТЕСТ,razyomy_section_1
razyomy_4,Разъём многополюсный ЕТ-СНЦ43,razyom-mnogopolyusnyj-et-snc43,Y,500,,html,"ЕТ-СНЦ13, ЕТ-СНЦ14, ЕТ-СНЦ43.png",,html,"ЕТ-СНЦ13, ЕТ-СНЦ14, ЕТ-СНЦ43.png",ЭКБ ТЕСТ,ЕТ-СНЦ43,10,102,-60, `+85,140,250,,,,,,,,,,Разъём многополюсный \ бортовая аппаратура,,,razyomy_33,Разъём многополюсный ЕТ-СНЦ43,Разъём многополюсный ЕТ-СНЦ43⚡Изготовление на заказ ✔ pin-to-pin / функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на многополюсные разъёмы ЕТ-СНЦ43. Разумные сроки. Индивидуальный подход.,Разъёмы ЭКБ ТЕСТ,razyomy_section_1
razyomy_5,Разъём многополюсный ЕТ-ШР,razyom-mnogopolyusnyj-et-shr,Y,600,,html,"ЕТ-ШР, ЕТ-СШР, ЕТ-2РТТ.png",,html,"ЕТ-ШР, ЕТ-СШР, ЕТ-2РТТ.png",ЭКБ ТЕСТ,ЕТ-ШР,1,48,-60, `+50,850,500,,,,,,,,,,Разъём многополюсный \ бортовая аппаратура,,,razyomy_34,Разъём многополюсный ЕТ-ШР,Разъём многополюсный ЕТ-ШР⚡Изготовление на заказ ✔ pin-to-pin / функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на многополюсные разъёмы ЕТ-ШР. Разумные сроки. Индивидуальный подход.,Разъёмы ЭКБ ТЕСТ,razyomy_section_1
razyomy_6,Разъём многополюсный ЕТ-СШР,razyom-mnogopolyusnyj-et-sshr,Y,700,,html,"ЕТ-ШР, ЕТ-СШР, ЕТ-2РТТ.png",,html,"ЕТ-ШР, ЕТ-СШР, ЕТ-2РТТ.png",ЭКБ ТЕСТ,ЕТ-СШР,1,48,-60, `+50,850,500,,,,,,,,,,Разъём многополюсный \ бортовая аппаратура,,,razyomy_35,Разъём многополюсный ЕТ-СШР,Разъём многополюсный ЕТ-СШР⚡Изготовление на заказ ✔ pin-to-pin / функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на многополюсные разъёмы ЕТ-СШР. Разумные сроки. Индивидуальный подход.,Разъёмы ЭКБ ТЕСТ,razyomy_section_1
razyomy_7,Разъём многополюсный ЕТ-2РТТ,razyom-mnogopolyusnyj-et-2rtt,Y,800,,html,"ЕТ-ШР, ЕТ-СШР, ЕТ-2РТТ.png",,html,"ЕТ-ШР, ЕТ-СШР, ЕТ-2РТТ.png",ЭКБ ТЕСТ,ЕТ-2РТТ,1,48,-60, `+150,850,500,,,,,,,,,,Разъём многополюсный \ бортовая аппаратура,,,razyomy_36,Разъём многополюсный ЕТ-2РТТ,Разъём многополюсный ЕТ-2РТТ⚡Изготовление на заказ ✔ pin-to-pin / функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на многополюсные разъёмы ЕТ-2РТТ. Разумные сроки. Индивидуальный подход.,Разъёмы ЭКБ ТЕСТ,razyomy_section_1
