Внешний код,Название,Символьный код,Активность,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Партномер,Тип,Модельный ряд,Ёмкость_пикофарад_пФ,Код,Корпус,Точность (погрешность) от,Точность (погрешность) до,Диапазон рабочих температур °C от,Диапазон рабочих температур °C до,№ ТУ на серию,Обозначение КД,Номинальное напряжение_В,Особенности продукции,Применение для электрических цепей,Область применения,Уровни гарантии качества,Дополнительные фото,Datasheet,Документация,Подписи Документация,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,XML_ID секции 1 уровень
"Обязательное
svch-kondensatory_№","Строка
Обязательное
СВЧ-конденсатор - серия - ёмкость","Строка
","да/нет (галочка)
Варианты значений:
Y
N
","Число
Комментарий:
Шаг 10 или 100","HTML/текст
","Техническое свойство
Варианты заполнения: html или text","Файл
","HTML/текст
","Техническое свойство
Варианты заполнения: html или text","Файл
","Строка
Обязательное
","Строка
","Строка
","Строка
","Число
Комментарий:
[!!] самый главный параметр","Строка
","Строка
","Строка
","Строка
","Строка
","Строка
","Строка
","Строка
","Строка
","HTML/текст
","HTML/текст
","HTML/текст
","HTML/текст
","Файл
Множественное
","Файл
","Файл
Множественное
Комментарий:
Подписи для всех:
Руководство по применению####
Маркировка####
Наборы инструментов####
Инструкция по установке####
Составные элементы####
Информация по серии####

Файлы для всех:
Руководство по применению ЭКБ ТЕСТ.pdf####
Маркировка ЭКБ ТЕСТ.pdf####
Наборы иструментов и датчиков для моделирования ЭКБ ТЕСТ.pdf####
Иструкция по установке ЭКБ ТЕСТ.pdf####
Составные элементы мощных чип-конд. для ВП ЭКБ ТЕСТ.pdf####
Общая по серии а ЭКБ ТЕСТ.pdf####",,"Привязка к элементам по XML_ID
Множественное
","Строка
","Строка
","Строка
",Строка,Привязка по XML_ID
IE_XML_ID,IE_NAME,IE_CODE,IE_ACTIVE,IE_SORT,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_PREVIEW_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_DETAIL_PICTURE,MANUFACTURER,PARTNUMBER,TYPE,THE_LINEUP,PICOPARAD_PF,CODE,FRAME,ACCURACY_FROM,ACCURACY_TO,THE_RANGE_OF_OPERATING_TEMPERATURES_FROM,THE_RANGE_OF_OPERATING_TEMPERATURES_TO,NUMBER_FOR_THE_SERIES,DESIGNATION,RATED_VOLTAGE,FEATURES_OF_PRODUCTS,APPLICATION_FOR_ELECTRIC_CIRCUITS,APPLICATION_AREA,QUALITY_GUARANTEE_LEVELS,PHOTOS,DATASHEET,DOCS,DOCS_DSCR,REPLACES,H1,TITLE,DESCRIPTION,IC_GROUP0,IC_XML_ID0
demo_svch-kondensatory_1,ДЕМО элемент,demo-element,Y,100,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",html,demo_1.jpeg,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",html,demo_1.jpeg,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,1,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>","<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>","<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>","<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,demo_1.jpeg,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,Оценка спроса####Маркетинговое исследование####Образ бренда,element_1####element_2####element_3,ДЕМО заголовок элемента,ДЕМО title страницы,ДЕМО description страницы,ДЕМО Секция 1,demo_svch-kondensatory_section_1
svch-kondensatory_1,"СВЧ-конденсатор ARC70A 0,1 пФ",svch-kondensator-arc70a-0-1-pf,Y,200,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,14.jpg,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,14.jpg,ЭКБ ТЕСТ,0R1,Сверх-высокочастотные многослойные керамические чип-конденсаторы для ВП,ARC70,"0,1",0R1,0505,±0.05 пФ,±0.5 пФ,-55,200,ТКЕС.434410.002ТУ,ТКЕС.434410.001,150 В Код 151 или 300 В Код 301,"<p>Высококачественные, высокое значение тока высокой частоты (ТВЧ)/напряжения тока, высокое значение радиочастотной мощности, низкое значение эквивалентного последовательного сопротивления (ESR)/ эквивалентной последовательной индуктивности (ESL), низкий уровень шума, повышенная степень надёжности.</p>","<p>Высокочастотные / микроволновые / радиочастотные усилители, усилители с низким уровнем помех, индуктивно-емкостные сглаживающие фильтры и так далее.</p>","<p>Модули радиотехнической разведки и радиоэлектронной борьбы для военных сверхвысокочастотных радиолокационных станций с фазированной антенной решеткой, военные коротковолновые, ультракоротковолновые, микроволновые системы связи.</p>","<p>Государственный военный стандарт, 7 специальный уровень качества, стандарт качества военной продукции.</p>",,ARC70A ЭКБ ТЕСТ.pdf,Руководство по применению ЭКБ ТЕСТ.pdf####Маркировка ЭКБ ТЕСТ.pdf####Наборы иструментов и датчиков для моделирования ЭКБ ТЕСТ.pdf####Иструкция по установке ЭКБ ТЕСТ.pdf####Составные элементы мощных чип-конд. для ВП ЭКБ ТЕСТ.pdf####Общая по серии а ЭКБ ТЕСТ.pdf,Руководство по применению####Маркировка####Наборы инструментов####Инструкция по установке####Составные элементы####Информация по серии####,svch-kondensatory_87####svch-kondensatory_88####svch-kondensatory_89####svch-kondensatory_90,"СВЧ-конденсатор ARC70A 0,1 пФ","СВЧ-конденсатор ARC70A 0,1 пФ⚡Изготовление на заказ ✔ pin-to-pin замены СВЧ-конденсаторов ATC700A (American Technical Ceramics)⚡Испытательная лаборатория⚡ЭКБ ТЕСТ","Наша продукция является прямой заменой конденсаторов ATC (American Technical Ceramics). Надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на СВЧ-конденсатор ARC70A 0,1 пФ. Разумные сроки. Индивидуальный подход.",СВЧ-конденсаторы ЭКБ ТЕСТ,svch-kondensatory_section_6
svch-kondensatory_2,"СВЧ-конденсатор ARC70A 0,2 пФ",svch-kondensator-arc70a-0-2-pf,Y,300,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,11.jpg,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,11.jpg,ЭКБ ТЕСТ,0R2,Сверх-высокочастотные многослойные керамические чип-конденсаторы для ВП,ARC70,"0,2",0R2,0505,±0.05 пФ,±0.5 пФ,-55,200,,,150 В Код 151 или 300 В Код 301,"<p>Высококачественные, высокое значение тока высокой частоты (ТВЧ)/напряжения тока, высокое значение радиочастотной мощности, низкое значение эквивалентного последовательного сопротивления (ESR)/ эквивалентной последовательной индуктивности (ESL), низкий уровень шума, повышенная степень надёжности.</p>","<p>Высокочастотные / микроволновые / радиочастотные усилители, усилители с низким уровнем помех, индуктивно-емкостные сглаживающие фильтры и так далее.</p>","<p>Модули радиотехнической разведки и радиоэлектронной борьбы для военных сверхвысокочастотных радиолокационных станций с фазированной антенной решеткой, военные коротковолновые, ультракоротковолновые, микроволновые системы связи.</p>","<p>Государственный военный стандарт, 7 специальный уровень качества, стандарт качества военной продукции.</p>",,ARC70A ЭКБ ТЕСТ.pdf,Руководство по применению ЭКБ ТЕСТ.pdf####Маркировка ЭКБ ТЕСТ.pdf####Наборы иструментов и датчиков для моделирования ЭКБ ТЕСТ.pdf####Иструкция по установке ЭКБ ТЕСТ.pdf####Составные элементы мощных чип-конд. для ВП ЭКБ ТЕСТ.pdf####Общая по серии а ЭКБ ТЕСТ.pdf,Руководство по применению####Маркировка####Наборы инструментов####Инструкция по установке####Составные элементы####Информация по серии####,svch-kondensatory_87####svch-kondensatory_88####svch-kondensatory_89####svch-kondensatory_90,"СВЧ-конденсатор ARC70A 0,2 пФ","СВЧ-конденсатор ARC70A 0,2 пФ⚡Изготовление на заказ ✔ pin-to-pin замены СВЧ-конденсаторов ATC700A (American Technical Ceramics)⚡Испытательная лаборатория⚡ЭКБ ТЕСТ","Наша продукция является прямой заменой конденсаторов ATC (American Technical Ceramics). Надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на СВЧ-конденсатор ARC70A 0,2 пФ. Разумные сроки. Индивидуальный подход.",СВЧ-конденсаторы ЭКБ ТЕСТ,svch-kondensatory_section_6
svch-kondensatory_3,"СВЧ-конденсатор ARC70A 0,3 пФ",svch-kondensator-arc70a-0-3-pf,Y,400,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,14.jpg,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,14.jpg,ЭКБ ТЕСТ,0R3,Сверх-высокочастотные многослойные керамические чип-конденсаторы для ВП,ARC70,"0,3",0R3,0505,±0.05 пФ,±0.5 пФ,-55,200,,,150 В Код 151 или 300 В Код 301,"<p>Высококачественные, высокое значение тока высокой частоты (ТВЧ)/напряжения тока, высокое значение радиочастотной мощности, низкое значение эквивалентного последовательного сопротивления (ESR)/ эквивалентной последовательной индуктивности (ESL), низкий уровень шума, повышенная степень надёжности.</p>","<p>Высокочастотные / микроволновые / радиочастотные усилители, усилители с низким уровнем помех, индуктивно-емкостные сглаживающие фильтры и так далее.</p>","<p>Модули радиотехнической разведки и радиоэлектронной борьбы для военных сверхвысокочастотных радиолокационных станций с фазированной антенной решеткой, военные коротковолновые, ультракоротковолновые, микроволновые системы связи.</p>","<p>Государственный военный стандарт, 7 специальный уровень качества, стандарт качества военной продукции.</p>",,ARC70A ЭКБ ТЕСТ.pdf,Руководство по применению ЭКБ ТЕСТ.pdf####Маркировка ЭКБ ТЕСТ.pdf####Наборы иструментов и датчиков для моделирования ЭКБ ТЕСТ.pdf####Иструкция по установке ЭКБ ТЕСТ.pdf####Составные элементы мощных чип-конд. для ВП ЭКБ ТЕСТ.pdf####Общая по серии а ЭКБ ТЕСТ.pdf,Руководство по применению####Маркировка####Наборы инструментов####Инструкция по установке####Составные элементы####Информация по серии####,svch-kondensatory_87####svch-kondensatory_88####svch-kondensatory_89####svch-kondensatory_90,"СВЧ-конденсатор ARC70A 0,3 пФ","СВЧ-конденсатор ARC70A 0,3 пФ⚡Изготовление на заказ ✔ pin-to-pin замены СВЧ-конденсаторов ATC700A (American Technical Ceramics)⚡Испытательная лаборатория⚡ЭКБ ТЕСТ","Наша продукция является прямой заменой конденсаторов ATC (American Technical Ceramics). Надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на СВЧ-конденсатор ARC70A 0,3 пФ. Разумные сроки. Индивидуальный подход.",СВЧ-конденсаторы ЭКБ ТЕСТ,svch-kondensatory_section_6
svch-kondensatory_4,"СВЧ-конденсатор ARC70A 0,4 пФ",svch-kondensator-arc70a-0-4-pf,Y,500,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,11.jpg,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,11.jpg,ЭКБ ТЕСТ,0R4,Сверх-высокочастотные многослойные керамические чип-конденсаторы для ВП,ARC70,"0,4",0R4,0505,±0.05 пФ,±0.5 пФ,-55,200,,,150 В Код 151 или 300 В Код 301,"<p>Высококачественные, высокое значение тока высокой частоты (ТВЧ)/напряжения тока, высокое значение радиочастотной мощности, низкое значение эквивалентного последовательного сопротивления (ESR)/ эквивалентной последовательной индуктивности (ESL), низкий уровень шума, повышенная степень надёжности.</p>","<p>Высокочастотные / микроволновые / радиочастотные усилители, усилители с низким уровнем помех, индуктивно-емкостные сглаживающие фильтры и так далее.</p>","<p>Модули радиотехнической разведки и радиоэлектронной борьбы для военных сверхвысокочастотных радиолокационных станций с фазированной антенной решеткой, военные коротковолновые, ультракоротковолновые, микроволновые системы связи.</p>","<p>Государственный военный стандарт, 7 специальный уровень качества, стандарт качества военной продукции.</p>",,ARC70A ЭКБ ТЕСТ.pdf,Руководство по применению ЭКБ ТЕСТ.pdf####Маркировка ЭКБ ТЕСТ.pdf####Наборы иструментов и датчиков для моделирования ЭКБ ТЕСТ.pdf####Иструкция по установке ЭКБ ТЕСТ.pdf####Составные элементы мощных чип-конд. для ВП ЭКБ ТЕСТ.pdf####Общая по серии а ЭКБ ТЕСТ.pdf,Руководство по применению####Маркировка####Наборы инструментов####Инструкция по установке####Составные элементы####Информация по серии####,svch-kondensatory_87####svch-kondensatory_88####svch-kondensatory_89####svch-kondensatory_90,"СВЧ-конденсатор ARC70A 0,4 пФ","СВЧ-конденсатор ARC70A 0,4 пФ⚡Изготовление на заказ ✔ pin-to-pin замены СВЧ-конденсаторов ATC700A (American Technical Ceramics)⚡Испытательная лаборатория⚡ЭКБ ТЕСТ","Наша продукция является прямой заменой конденсаторов ATC (American Technical Ceramics). Надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на СВЧ-конденсатор ARC70A 0,4 пФ. Разумные сроки. Индивидуальный подход.",СВЧ-конденсаторы ЭКБ ТЕСТ,svch-kondensatory_section_6
svch-kondensatory_5,"СВЧ-конденсатор ARC70A 0,5 пФ",svch-kondensator-arc70a-0-5-pf,Y,600,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,14.jpg,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,14.jpg,ЭКБ ТЕСТ,0R5,Сверх-высокочастотные многослойные керамические чип-конденсаторы для ВП,ARC70,"0,5",0R5,0505,±0.05 пФ,±0.5 пФ,-55,200,,,150 В Код 151 или 300 В Код 301,"<p>Высококачественные, высокое значение тока высокой частоты (ТВЧ)/напряжения тока, высокое значение радиочастотной мощности, низкое значение эквивалентного последовательного сопротивления (ESR)/ эквивалентной последовательной индуктивности (ESL), низкий уровень шума, повышенная степень надёжности.</p>","<p>Высокочастотные / микроволновые / радиочастотные усилители, усилители с низким уровнем помех, индуктивно-емкостные сглаживающие фильтры и так далее.</p>","<p>Модули радиотехнической разведки и радиоэлектронной борьбы для военных сверхвысокочастотных радиолокационных станций с фазированной антенной решеткой, военные коротковолновые, ультракоротковолновые, микроволновые системы связи.</p>","<p>Государственный военный стандарт, 7 специальный уровень качества, стандарт качества военной продукции.</p>",,ARC70A ЭКБ ТЕСТ.pdf,Руководство по применению ЭКБ ТЕСТ.pdf####Маркировка ЭКБ ТЕСТ.pdf####Наборы иструментов и датчиков для моделирования ЭКБ ТЕСТ.pdf####Иструкция по установке ЭКБ ТЕСТ.pdf####Составные элементы мощных чип-конд. для ВП ЭКБ ТЕСТ.pdf####Общая по серии а ЭКБ ТЕСТ.pdf,Руководство по применению####Маркировка####Наборы инструментов####Инструкция по установке####Составные элементы####Информация по серии####,svch-kondensatory_87####svch-kondensatory_88####svch-kondensatory_89####svch-kondensatory_90,"СВЧ-конденсатор ARC70A 0,5 пФ","СВЧ-конденсатор ARC70A 0,5 пФ⚡Изготовление на заказ ✔ pin-to-pin замены СВЧ-конденсаторов ATC700A (American Technical Ceramics)⚡Испытательная лаборатория⚡ЭКБ ТЕСТ","Наша продукция является прямой заменой конденсаторов ATC (American Technical Ceramics). Надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на СВЧ-конденсатор ARC70A 0,5 пФ. Разумные сроки. Индивидуальный подход.",СВЧ-конденсаторы ЭКБ ТЕСТ,svch-kondensatory_section_6
svch-kondensatory_6,"СВЧ-конденсатор ARC70A 0,6 пФ",svch-kondensator-arc70a-0-6-pf,Y,700,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,11.jpg,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,11.jpg,ЭКБ ТЕСТ,0R6,Сверх-высокочастотные многослойные керамические чип-конденсаторы для ВП,ARC70,"0,6",0R6,0505,±0.05 пФ,±0.5 пФ,-55,200,,,150 В Код 151 или 300 В Код 301,"<p>Высококачественные, высокое значение тока высокой частоты (ТВЧ)/напряжения тока, высокое значение радиочастотной мощности, низкое значение эквивалентного последовательного сопротивления (ESR)/ эквивалентной последовательной индуктивности (ESL), низкий уровень шума, повышенная степень надёжности.</p>","<p>Высокочастотные / микроволновые / радиочастотные усилители, усилители с низким уровнем помех, индуктивно-емкостные сглаживающие фильтры и так далее.</p>","<p>Модули радиотехнической разведки и радиоэлектронной борьбы для военных сверхвысокочастотных радиолокационных станций с фазированной антенной решеткой, военные коротковолновые, ультракоротковолновые, микроволновые системы связи.</p>","<p>Государственный военный стандарт, 7 специальный уровень качества, стандарт качества военной продукции.</p>",,ARC70A ЭКБ ТЕСТ.pdf,Руководство по применению ЭКБ ТЕСТ.pdf####Маркировка ЭКБ ТЕСТ.pdf####Наборы иструментов и датчиков для моделирования ЭКБ ТЕСТ.pdf####Иструкция по установке ЭКБ ТЕСТ.pdf####Составные элементы мощных чип-конд. для ВП ЭКБ ТЕСТ.pdf####Общая по серии а ЭКБ ТЕСТ.pdf,Руководство по применению####Маркировка####Наборы инструментов####Инструкция по установке####Составные элементы####Информация по серии####,svch-kondensatory_87####svch-kondensatory_88####svch-kondensatory_89####svch-kondensatory_90,"СВЧ-конденсатор ARC70A 0,6 пФ","СВЧ-конденсатор ARC70A 0,6 пФ⚡Изготовление на заказ ✔ pin-to-pin замены СВЧ-конденсаторов ATC700A (American Technical Ceramics)⚡Испытательная лаборатория⚡ЭКБ ТЕСТ","Наша продукция является прямой заменой конденсаторов ATC (American Technical Ceramics). Надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на СВЧ-конденсатор ARC70A 0,6 пФ. Разумные сроки. Индивидуальный подход.",СВЧ-конденсаторы ЭКБ ТЕСТ,svch-kondensatory_section_6
svch-kondensatory_7,"СВЧ-конденсатор ARC70A 0,7 пФ",svch-kondensator-arc70a-0-7-pf,Y,800,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,14.jpg,"<p>Серия ARC70 - это сверхвысокочастотные/высокочастотные многослойные керамические чип-конденсаторы, температурный коэффициент которых составляет 0±30 м.д. / °С.</p>",html,14.jpg,ЭКБ ТЕСТ,0R7,Сверх-высокочастотные многослойные керамические чип-конденсаторы для ВП,ARC70,"0,7",0R7,0505,±0.05 пФ,±0.5 пФ,-55,200,,,150 В Код 151 или 300 В Код 301,"<p>Высококачественные, высокое значение тока высокой частоты (ТВЧ)/напряжения тока, высокое значение радиочастотной мощности, низкое значение эквивалентного последовательного сопротивления (ESR)/ эквивалентной последовательной индуктивности (ESL), низкий уровень шума, повышенная степень надёжности.</p>","<p>Высокочастотные / микроволновые / радиочастотные усилители, усилители с низким уровнем помех, индуктивно-емкостные сглаживающие фильтры и так далее.</p>","<p>Модули радиотехнической разведки и радиоэлектронной борьбы для военных сверхвысокочастотных радиолокационных станций с фазированной антенной решеткой, военные коротковолновые, ультракоротковолновые, микроволновые системы связи.</p>","<p>Государственный военный стандарт, 7 специальный уровень качества, стандарт качества военной продукции.</p>",,ARC70A ЭКБ ТЕСТ.pdf,Руководство по применению ЭКБ ТЕСТ.pdf####Маркировка ЭКБ ТЕСТ.pdf####Наборы иструментов и датчиков для моделирования ЭКБ ТЕСТ.pdf####Иструкция по установке ЭКБ ТЕСТ.pdf####Составные элементы мощных чип-конд. для ВП ЭКБ ТЕСТ.pdf####Общая по серии а ЭКБ ТЕСТ.pdf,Руководство по применению####Маркировка####Наборы инструментов####Инструкция по установке####Составные элементы####Информация по серии####,svch-kondensatory_87####svch-kondensatory_88####svch-kondensatory_89####svch-kondensatory_90,"СВЧ-конденсатор ARC70A 0,7 пФ","СВЧ-конденсатор ARC70A 0,7 пФ⚡Изготовление на заказ ✔ pin-to-pin замены СВЧ-конденсаторов ATC700A (American Technical Ceramics)⚡Испытательная лаборатория⚡ЭКБ ТЕСТ","Наша продукция является прямой заменой конденсаторов ATC (American Technical Ceramics). Надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на СВЧ-конденсатор ARC70A 0,7 пФ. Разумные сроки. Индивидуальный подход.",СВЧ-конденсаторы ЭКБ ТЕСТ,svch-kondensatory_section_6
