Внешний код,Название,Символьный код,Активность,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Партномер,Назначение,Описание,Тип изделия,Информационная ёмкость,Входное напряжение_В_от,Входное напряжение_В_до,Выходное напряжение_В,Фиксированное выходное напряжение_В,Напряжения питания_В,Напряжение питания ядра,Напряжение питания периферии,"Напряжение питания портов,В",Период следования импульсов такт. Сигналов,Типовая логическая емкость,Точность установки выходного напряжения,Динамический ток потребления,Ток потребления,Статический ток потребления_ICC,Ток потребления в режиме хранения,Динамический ток потребления в режиме конфигурирования,Мин. ток потребления в рабочем режиме,Время выборки данных по адресу,Время выборки по сигналу CE tA_СE,Гальваническая развязка,Количество выводов_программируемых пользователем,Каналы,Макс. скорость передачи данных,Защита выходов передатчика,Защита от электростат. разр._ESD,Поддержка протоколов,Количество разрядов данных,Защита от КЗ и перегрева,Максимальная частота,Рабочая частота,Объем встроенной памяти,Встроенная память,Интерфейсы,Контроллеры интерфейсов,Прочее,КПД,Ток потребления холостого хода,Обратная связь по току,Рабочая частота_МГц,Рабочий температурный диапазон_от,Рабочий температурный диапазон_до,Тип корпуса,Дополнительные фото,Отличительные особенности компонентов ЭКБ-ТЕСТ,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,Символьный код секции 1 уровень,XML_ID секции 1 уровень
"Обязательное
mikroskhemy_№","Строка
Обязательное
Микросхема-партномер","Строка
","да/нет (галочка)
Варианты значений:
Y
N
","Число
Комментарий:
Шаг 10 или 100","HTML/текст
","Техническое свойство
Варианты заполнения: html или text","Файл
","HTML/текст
","Техническое свойство
Варианты заполнения: html или text","Файл
","Строка
Обязательное
","Строка
","Строка
","Строка
","Строка
","Число
","Число
","Число
","Строка
","Строка
","Строка
","Строка
","Строка
","Строка
","Строка
","Число
","Строка
","Строка
","Строка
","Строка
","Строка
","Строка
","Строка
","Строка
","Строка
","Строка
","Число
","Строка
","Строка
","Строка
","Строка
","Строка
","Число
","да/нет (галочка)
Варианты значений:
Y
","Число
","Строка
","Число
","Строка
","Строка
","Строка
","HTML/текст
","Строка
","Строка
","да/нет (галочка)
Варианты значений:
Y
","Число
","Строка
","Строка
","Строка
Множественное
","Файл
Множественное
","HTML/текст
","Привязка к элементам по XML_ID
Множественное
","Строка
","Строка
","Строка
",Строка,Строка,Привязка по XML_ID
IE_XML_ID,IE_NAME,IE_CODE,IE_ACTIVE,IE_SORT,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_PREVIEW_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_DETAIL_PICTURE,MANUFACTURER,PARTNUMBER,APPOINTMENT,DESCRIPTION_TECH,TYPE,INFORMATION_CAPACITY,INPUT_VOLTAGE_FROM,INPUT_VOLTAGE_TO,OUTPUT_VOLTAGE,FIXED_OUTPUT_VOLTAGE,POWER_VOLTAGES,NUCLEAR_POWER_VOLTAGE,THE_VOLTAGE_OF_THE_PERIPHERY,PORT_POWER_VOLTAGE,THE_PERIOD_OF_THE_IMPULSES,TYPICAL_LOGICAL_CAPACITY,OUTPUT_VOLTAGE_INSTALLATION_ACCURACY,DYNAMIC_CONSUMPTION_CURRENT,CONSUMPTION_CURRENT,STATIC_CONSUMPTION_CURRENT_ICC,CONSUMPTION_CURRENT_IN_STORAGE_MODE,DYNAMIC_CONSUMPTION_CURRENT_IN_CONFIGURATION_MODE,MIN_CONSUMPTION_CURRENT_IN_WORKING_MODE,DATA_SAMPLING_TIME_AT_THE_ADDRESS,SAMPLE_TIME_BY_SIGNAL,GALVANIC_ISOLATION,THE_NUMBER_OF_CONCLUSIONS,CHANNELS,MAX_DATA_TRANSMISSION_SPEED,TRANSMITTER_OUTPUTS_PROTECTION,ESD_PROTECTION,PROTOCOL_SUPPORT,THE_NUMBER_OF_DATA_DISCHARGES,OVERHEAT_PROTECTION,MAXIMUM_FREQUENCY,WORK_FREQUENCY,THE_VOLUME_OF_BUILT_IN_MEMORY,BUILT_IN_MEMORY,INTERFACES,INTERFACE_CONTROLLERS,OTHER,EFFICIENCY,IDLE_CONSUMPTION_CURRENT,FEEDBACK,WORK_FREQUENCY_MHZ,WORKING_TEMPERATURE_RANGE_FROM,WORKING_TEMPERATURE_RANGE_TO,TYPE_OF_SHELL,PHOTOS,DISTINCTIVE_FEATURES_OF_THE_COMPONENTS,REPLACES,H1,TITLE,DESCRIPTION,IC_GROUP0,IC_CODE0,IC_XML_ID0
demo_mikroskhemy_1,ДЕМО элемент,demo-element,Y,100,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",html,demo_1.jpeg,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",html,demo_1.jpeg,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,1,1,1,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,1,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,1,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,Сайты для SEO,1,Y,1,Сайты для SEO,1,Сайты для SEO,Сайты для SEO,Сайты для SEO,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",Сайты для SEO,Сайты для SEO,Y,1,Сайты для SEO,Сайты для SEO,Сайты для SEO####SEO в аренду####3-в-1 Интернет-магазин с мобильными приложениями,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",element_1####element_2####element_3,ДЕМО заголовок элемента,ДЕМО title страницы,ДЕМО description страницы,ДЕМО Секция 1,demo-mikroskhemy-section-1,demo_mikroskhemy_section_1
mikroskhemy_1,Микросхема ET1310PN1U,mikroskhema-et1310pn1u,Y,200,,html,ET1310PN1U.jpg,,html,ET1310PN1U.jpg,ЭКБ ТЕСТ,ET1310PN1U,Управление питанием (Power management),,,,"2,5","5,5",регулируемое,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,до 97%,не более 50 мкА ,Y,"1,3",-40,"""+85",SOT23####SOT-224,,"<ul><li>Больший максимальный ток нагрузки: 2 А (1,5 А – у Миландр)</li><li>КПД до 97% (не нормируется  у Миландр)</li><li>Ниже ток потребления холостого хода: 50 мА (400 мА – у Миландр)</li><li>Рабочий диапазон температур: -40...+85 °C (-60...+85 °C - у Миландр)</li><li>Различия в корпусах: миниатюрные корпуса SOT23/SOT-224 - у ЭКБ ТЕСТ (Н06.24-1В -  у Миландр)</li></ul>",mikroskhemy_27,Микросхема ET1310PN1U,Микросхема ET1310PN1U⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на микросхемы ET1310PN1U. Разумные сроки. Индивидуальный подход.,Микросхемы ЭКБ ТЕСТ,mikroskhemy-ekb-test,mikroskhemy_section_1
mikroskhemy_2,Микросхема ET1309EN3.3T,mikroskhema-et1309en3-3t,Y,300,,html,ET1309EN3.3T.jpg,,html,ET1309EN3.3T.jpg,ЭКБ ТЕСТ,ET1309EN3.3T,Управление питанием (Power management),,,,,15,"3,3 В ","3,3 В ",,,,,,,"± 0,2% ",,,,,,не более 3 мА ,,,,,,,,,,,Да,,,,,,,,,,,,-40,"""+85",TO-263-3,,"<ul><li>Больший максимальный ток нагрузки: 5 А (2 А – у Миландр)</li><li>Выше точность поддержания выходного напряжения: 0,2% (3% -  у Миландр)</li><li>Рабочий диапазон температур: -40...+85 °C (-60...+85 °C - у Миландр)</li><li>Различия в корпусах: TO-263-3 - у ЭКБ ТЕСТ (4116.8-3 -  у Миландр)</li></ul>",mikroskhemy_28,Микросхема ET1309EN3.3T,Микросхема ET1309EN3.3T⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на микросхемы ET1309EN3.3T. Разумные сроки. Индивидуальный подход.,Микросхемы ЭКБ ТЕСТ,mikroskhemy-ekb-test,mikroskhemy_section_1
mikroskhemy_3,Микросхема ET1309ES035,mikroskhema-et1309es035,Y,400,,html,ET1309ES035.jpg,,html,ET1309ES035.jpg,ЭКБ ТЕСТ,ET1309ES035,Управление питанием (Power management),,,,"2,495",36,фиксируемое и регулируемое,да,до 36 В,,,,,,"± 0,5% ",,"от 0,1 до 100 мА ",,,,,,,,,,,,,,,,,,,,,,,,,,,-40,"""+85",SOT-23####TO-92####SOT-89####SOP-8####TO-92L,,"<ul><li>Возможность установки любого фиксированного напряжения в диапазоне от 2,495 до 36 В (фикс. ряд – у Миландр)</li><li>Более широкий диапазон входных напряжений: до 36 В (до 5,5 В -  у Миландр)</li><li>Рабочий диапазон температур: -40...+85 °C (-60...+85 °C - у Миландр)</li><li>Возможность исполнения в различных корпусах: SOT-23/TO-92/SOT-89/SOP-8/TO-92L - у ЭКБ ТЕСТ (Н02.8-1В -  у Миландр)</li></ul>",mikroskhemy_29,Микросхема ET1309ES035,Микросхема ET1309ES035⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на микросхемы ET1309ES035. Разумные сроки. Индивидуальный подход.,Микросхемы ЭКБ ТЕСТ,mikroskhemy-ekb-test,mikroskhemy_section_1
mikroskhemy_4,Микросхема ET1309ES055,mikroskhema-et1309es055,Y,500,,html,ET1309ES035.jpg,,html,ET1309ES035.jpg,ЭКБ ТЕСТ,ET1309ES055,Управление питанием (Power management),,,,"2,495",36,фиксируемое и регулируемое,да,до 36 В,,,,,,"± 0,5% ",,"от 0,1 до 100 мА ",,,,,,,,,,,,,,,,,,,,,,,,,,, -40°С,"""+85°С",SOT-23####TO-92####SOT-89####SOP-8####TO-92L,,"<ul><li>Возможность установки любого фиксированного напряжения в диапазоне от 2,495 до 36 В (фикс. ряд – у Миландр)</li><li>Более широкий диапазон входных напряжений: до 36 В (до 5,5 В -  у Миландр)</li><li>Рабочий диапазон температур: -40...+85 °C (-60...+85 °C - у Миландр)</li><li>Возможность исполнения в различных корпусах: SOT-23/TO-92/SOT-89/SOP-8/TO-92L - у ЭКБ ТЕСТ (Н02.8-1В -  у Миландр)</li></ul>",mikroskhemy_30,Микросхема ET1309ES055,Микросхема ET1309ES055⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на микросхемы ET1309ES055. Разумные сроки. Индивидуальный подход.,Микросхемы ЭКБ ТЕСТ,mikroskhemy-ekb-test,mikroskhemy_section_1
mikroskhemy_5,Микросхема ET1309ES065,mikroskhema-et1309es065,Y,600,,html,ET1309ES065.jpg,,html,ET1309ES065.jpg,ЭКБ ТЕСТ,ET1309ES065,Управление питанием (Power management),,,,"2,495",36,фиксируемое и регулируемое,да,до 36 В,,,,,,"± 0,5% ",,"от 0,1 до 100 мА ",,,,,,,,,,,,,,,,,,,,,,,,,,, -40°С,"""+85°С",SOT-23####TO-92####SOT-89####SOP-8####TO-92L,,"<ul><li>Возможность установки любого фиксированного напряжения в диапазоне от 2,495 до 36 В (фикс. ряд – у Миландр)</li><li>Более широкий диапазон входных напряжений: до 36 В (до 5,5 В -  у Миландр)</li><li>Рабочий диапазон температур: -40...+85 °C (-60...+85 °C - у Миландр)</li><li>Возможность исполнения в различных корпусах: SOT-23/TO-92/SOT-89/SOP-8/TO-92L - у ЭКБ ТЕСТ (Н02.8-1В -  у Миландр)</li></ul>",mikroskhemy_31,Микросхема ET1309ES065,Микросхема ET1309ES065⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на микросхемы ET1309ES065. Разумные сроки. Индивидуальный подход.,Микросхемы ЭКБ ТЕСТ,mikroskhemy-ekb-test,mikroskhemy_section_1
mikroskhemy_6,Микросхема ET1645RU1U,mikroskhema-et1645ru1u,Y,700,,html,ET1645RU1U.jpg,,html,ET1645RU1U.jpg,ЭКБ ТЕСТ,ET1645RU1U,ПАМЯТЬ (MEMORY),,,,,,,,"3,3 В",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -40°С,"""+85°С",32TSOP1,,<ul><li>Более высокое быстродействие (меньше время выборки)</li><li>Рабочий диапазон температур: -40...+85 °C (-60...+125 °C - у Миландр)</li><li>Различия в корпусах:   32TSOP1/48FBGA - у ЭКБ ТЕСТ (Н18.64-3В - у Миландр)</li></ul>,mikroskhemy_32,Микросхема ET1645RU1U,Микросхема ET1645RU1U⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на микросхемы ET1645RU1U. Разумные сроки. Индивидуальный подход.,Микросхемы ЭКБ ТЕСТ,mikroskhemy-ekb-test,mikroskhemy_section_1
mikroskhemy_7,Микросхема ET1645RU3U,mikroskhema-et1645ru3u,Y,800,,html,ET1645RU3U.jpg,,html,ET1645RU3U.jpg,ЭКБ ТЕСТ,ET1645RU3U,ПАМЯТЬ (MEMORY),,,,,,,,"3,3 В",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -40°С,"""+85°С",44TSOP2,,<ul><li>Более высокое быстродействие (меньше время выборки)</li><li>Рабочий диапазон температур: -40...+85 °C (-60...+125 °C - у Миландр)</li><li>Различные корпуса</li></ul>,mikroskhemy_33,Микросхема ET1645RU3U,Микросхема ET1645RU3U⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на микросхемы ET1645RU3U. Разумные сроки. Индивидуальный подход.,Микросхемы ЭКБ ТЕСТ,mikroskhemy-ekb-test,mikroskhemy_section_1
