Внешний код,Название,Символьный код,Активность,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Партномер,Тип,Мощность_Вт,Рабочее напряжение_В,Коэффициент усиления_Дб,Граничная частота усиления_до_ГГц,Граничная частота усиления_от_МГц,Граничная частота усиления_до_МГц,Тип корпуса,Размер корпуса с фланцами и выводами_мм_x,Размер корпуса с фланцами и выводами_мм_y,Размер корпуса с фланцами и выводами_мм_z,Размер кристалла_мм_x,Размер кристалла_мм_y,Размер кристалла_Круг,Дополнительные фото,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,Символьный код секции 1 уровень,XML_ID секции 1 уровень
"Обязательное
svch-tranzistory_№","Строка
Обязательное
Высокочастотный транзистор - Граничная частота усиления - Партномер","Строка
","да/нет (галочка)
Варианты значений:
Y
N
","Число
Комментарий:
Шаг 10 или 100","HTML/текст
","Техническое свойство
Варианты заполнения: html или text","Файл
","HTML/текст
","Техническое свойство
Варианты заполнения: html или text","Файл
","Строка
Обязательное
","Строка
","Строка
","Число
","Число
","Строка
","Число
","Число
","Число
","Строка
","Число
","Число
","Число
","Число
","Число
","да/нет (галочка)
Варианты значений:
Y
Комментарий:
для обозначения круга, считаем/показываем диаметр","Файл
Множественное
","Привязка к элементам по XML_ID
Множественное
","Строка
","Строка
","Строка
",Строка,Строка,Привязка по XML_ID
IE_XML_ID,IE_NAME,IE_CODE,IE_ACTIVE,IE_SORT,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_PREVIEW_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_DETAIL_PICTURE,MANUFACTURER,PARTNUMBER,TYPE,POWER,WORK_VOLTAGE,GAIN,THE_BOUNDARY_FREQUENCY_OF_AMPLIFICATION_TO_THE_GHZ,THE_BOUNDARY_FREQUENCY_OF_AMPLIFICATION_FROM_MHZ,THE_BOUNDARY_FREQUENCY_OF_AMPLIFICATION_TO_MHZ,TYPE_OF_SHELL,BODY_SIZE_X,BODY_SIZE_Y,BODY_SIZE_Z,CRYSTAL_SIZE_X,CRYSTAL_SIZE_Y,CRYSTAL_SIZE_CIRCLE,PHOTOS,REPLACES,H1,TITLE,DESCRIPTION,IC_GROUP0,IC_CODE0,IC_XML_ID0
demo_svch-tranzistory_1,ДЕМО элемент,demo-element,Y,100,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",html,demo_1.jpeg,"<p>Мы работали с поисковыми системами на всех этапах их становления и прошли путь от обмена ссылками до работы с поведенческим фактором.</p>
<p>За более чем 15 лет работы в различных условиях мы сформировали уникальный ценный опыт. Нам есть о чем вспомнить, однако самые яркие случаи из практики для нас — это вернувшиеся клиенты, которые поработали с другими компаниями и в итоге все-таки выбрали нас.</p>
<p>К нам возвращаются, нас рекомендуют друзьям. И мы делаем все, чтобы оправдывать оказанное доверие.</p>",html,demo_1.jpeg,Сайты для SEO,Сайты для SEO,Сайты для SEO,1,1,Сайты для SEO,1,1,1,Сайты для SEO,1,1,1,1,1,Y,demo_1.jpeg####demo_2.jpeg####demo_3.jpeg,element_1####element_2####element_3,ДЕМО заголовок элемента,ДЕМО title страницы,ДЕМО description страницы,ДЕМО Секция 1,demo-svch-tranzistory-section-1,demo_svch-tranzistory_section_1
svch-tranzistory_1,Высокочастотный транзистор 1 ГГц ET1008,vysokochastotnyj-tranzistor-1-ggc-et1008,Y,200,,html,ET1008.png,,html,ET1008.png,ЭКБ ТЕСТ,ET1008,,90,28,18,1,,,"Керамический корпус с фланцами: 2 монтажных отверстия, 4 вывода ",28.95,17.78,4.85,16.51,5.85,,,svch-tranzistory_18,Высокочастотный транзистор 1 ГГц ET1008,Высокочастотный транзистор 1 ГГц ET1008⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на Высокочастотный транзистор 1 ГГц ET1008. Разумные сроки. Индивидуальный подход.,СВЧ-транзисторы LDMOS,svch-tranzistory-ldmos,svch-tranzistory_section_3
svch-tranzistory_2,"Высокочастотный транзистор 1,5 ГГц ET1006",vysokochastotnyj-tranzistor-1-5-ggc-et1006,Y,300,,html,ET1006.png,,html,ET1006.png,ЭКБ ТЕСТ,ET1006,,70,28,20,"1,5",,,"Керамический корпус с фланцами: 2 монтажных отверстия, 4 вывода",20.30,10.80,4.23,,,,,svch-tranzistory_19####svch-tranzistory_35,"Высокочастотный транзистор 1,5 ГГц ET1006","Высокочастотный транзистор 1,5 ГГц ET1006⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ","ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на Высокочастотный транзистор 1,5 ГГц ET1006. Разумные сроки. Индивидуальный подход.",СВЧ-транзисторы LDMOS,svch-tranzistory-ldmos,svch-tranzistory_section_3
svch-tranzistory_3,Высокочастотный транзистор 1 ГГц ET2022,vysokochastotnyj-tranzistor-1-ggc-et2022,Y,400,,html,ET2022.png,,html,ET2022.png,ЭКБ ТЕСТ,ET2022,,50,28,20,1,,,"Керамический корпус с фланцами: 2 монтажных отверстия, 4 вывода ",28.95,17.78,4.85,16.51,5.85,,,svch-tranzistory_20,Высокочастотный транзистор 1 ГГц ET2022,Высокочастотный транзистор 1 ГГц ET2022⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на Высокочастотный транзистор 1 ГГц ET2022. Разумные сроки. Индивидуальный подход.,СВЧ-транзисторы LDMOS,svch-tranzistory-ldmos,svch-tranzistory_section_3
svch-tranzistory_4,Высокочастотный транзистор 250 ГГц ET1028,vysokochastotnyj-tranzistor-250-ggc-et1028,Y,500,,html,ET1028.png,,html,ET1028.png,ЭКБ ТЕСТ,ET1028,,400,28,17,250,,,"Керамический корпус с фланцами: 2 монтажных отверстия, 4 вывода",28.95,17.78,4.85,16.51,5.85,,,svch-tranzistory_21,Высокочастотный транзистор 250 ГГц ET1028,Высокочастотный транзистор 250 ГГц ET1028⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на Высокочастотный транзистор 250 ГГц ET1028. Разумные сроки. Индивидуальный подход.,СВЧ-транзисторы LDMOS,svch-tranzistory-ldmos,svch-tranzistory_section_3
svch-tranzistory_5,Высокочастотный транзистор 1 ГГц ET09100,vysokochastotnyj-tranzistor-1-ggc-et09100,Y,600,,html,ET09100.png,,html,ET09100.png,ЭКБ ТЕСТ,ET09100,,30,"13,6",14,1,,,Пластиковый корпус поверхностного монтажа с контактными площадками,10.00,6.00,2.10,,,,,svch-tranzistory_22,Высокочастотный транзистор 1 ГГц ET09100,Высокочастотный транзистор 1 ГГц ET09100⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на Высокочастотный транзистор 1 ГГц ET09100. Разумные сроки. Индивидуальный подход.,СВЧ-транзисторы LDMOS,svch-tranzistory-ldmos,svch-tranzistory_section_3
svch-tranzistory_6,"Высокочастотный транзистор 2,5 ГГц ET25007",vysokochastotnyj-tranzistor-2-5-ggc-et25007,Y,700,,html,ET25007.png,,html,ET25007.png,ЭКБ ТЕСТ,ET25007,,3,"12,5",17,"2,5",,,Пластиковый корпус поверхностного монтажа с контактными площадками,10.00,6.00,2.10,,,,,svch-tranzistory_23,"Высокочастотный транзистор 2,5 ГГц ET25007","Высокочастотный транзистор 2,5 ГГц ET25007⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ","ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на Высокочастотный транзистор 2,5 ГГц ET25007. Разумные сроки. Индивидуальный подход.",СВЧ-транзисторы LDMOS,svch-tranzistory-ldmos,svch-tranzistory_section_3
svch-tranzistory_7,Высокочастотный транзистор 4 ГГц ET6004H,vysokochastotnyj-tranzistor-4-ggc-et6004h,Y,800,,html,ET6004H.png,,html,ET6004H.png,ЭКБ ТЕСТ,ET6004H,,35,28,16,4,,,Керамический корпус с фланцами,14.00,8.13,3.56,5.10,4.10,,,svch-tranzistory_24,Высокочастотный транзистор 4 ГГц ET6004H,Высокочастотный транзистор 4 ГГц ET6004H⚡Изготовление на заказ ✔ функциональные замены⚡Испытательная лаборатория⚡ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на Высокочастотный транзистор 4 ГГц ET6004H. Разумные сроки. Индивидуальный подход.,СВЧ-транзисторы LDMOS,svch-tranzistory-ldmos,svch-tranzistory_section_3
